Industry,Total
Mining And Quarrying,28
Manufacturing,3155
"Water Supply, Sewerage, Waste Management And Remediation Activities",201
Construction,1034
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,2999
Accommodation And Food Service Activities,1634
Transportation And Storage,863
Information And Communication,1216
Real Estate Activities,200
"Professional, Scientific And Technical Activities",2023
Administrative And Support Service Activities,2359
Education,760
Human Health And Social Work Activities,294
"Arts, Entertainment And Recreation",718
Other Service Activities,137