Industry,ContinuedValue,CeasedValue,PausedValue
Manufacturing,79.0,0.4,20.6
"Water Supply, Sewerage, Waste Management And Remediation Activities",90.0,0.0,10.0
Construction,73.2,0.7,26.1
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,75.2,0.5,24.3
Accommodation And Food Service Activities,18.2,1.2,80.6
Transportation And Storage,91.5,0.0,8.5
Information And Communication,95.0,0.5,4.5
"Professional, Scientific And Technical Activities",96.7,0.3,3.0
Administrative And Support Service Activities,91.5,0.4,8.1
Education,86.8,0.6,12.6
Human Health And Social Work Activities,93.7,1.4,4.9
"Arts, Entertainment And Recreation",20.5,0.0,79.5
All Industries,76.7,0.5,22.8